0.005
0.0050	 218.0000	 0.0000
0.0100	 213.0000	 0.0000
0.0150	 212.0000	 0.0000
0.0200	 210.0000	 0.0000
0.0250	 209.0000	 0.0000
0.0300	 212.0000	 0.0000
0.0350	 221.0000	 0.0000
0.0400	 238.0000	 0.0000
0.0450	 263.0000	 0.0000
0.0500	 319.0000	 0.0000
0.0550	 390.0000	 0.0000
0.0600	 455.0000	 0.0000
0.0650	 506.0000	 0.0000
0.0700	 546.0000	 0.0000
0.0750	 581.0000	 0.0000
0.0800	 605.0000	 0.0000
0.0850	 621.0000	 0.0000
0.0900	 634.0000	 0.0000
0.0950	 640.0000	 0.0000
0.1000	 604.0000	 0.0000
0.1050	 510.0000	 0.0000
0.1100	 433.0000	 0.0000
0.1150	 364.0000	 0.0000
0.1200	 293.0000	 0.0000
0.1250	 253.0000	 0.0000
0.1300	 233.0000	 0.0000
0.1350	 222.0000	 0.0000
0.1400	 216.0000	 0.0000
0.1450	 212.0000	 0.0000
0.1500	 209.0000	 0.0000
0.1550	 210.0000	 0.0000
0.1600	 215.0000	 0.0000
0.1651	 223.0000	 0.0000
0.1701	 234.0000	 0.0000
0.1751	 250.0000	 0.0000
0.1801	 299.0000	 0.0000
0.1851	 367.0000	 0.0000
0.1901	 432.0000	 0.0000
0.1951	 484.0000	 0.0000
0.2001	 527.0000	 0.0000
0.2051	 562.0000	 0.0000
0.2101	 580.0000	 0.0000
0.2151	 566.0000	 0.0000
0.2201	 521.0000	 0.0000
0.2251	 461.0000	 0.0000
0.2301	 409.0000	 0.0000
0.2351	 349.0000	 0.0000
0.2401	 280.0000	 0.0000
0.2451	 247.0000	 0.0000
0.2501	 233.0000	 0.0000
0.2551	 223.0000	 0.0000
0.2601	 216.0000	 0.0000
0.2651	 213.0000	 0.0000
0.2701	 211.0000	 0.0000
0.2751	 210.0000	 0.0000
0.2801	 210.0000	 0.0000
0.2851	 218.0000	 0.0000
0.2901	 234.0000	 0.0000
0.2951	 259.0000	 0.0000
0.3001	 313.0000	 0.0000
0.3051	 386.0000	 0.0000
0.3101	 452.0000	 0.0000
0.3151	 503.0000	 0.0000
0.3201	 544.0000	 0.0000
0.3251	 578.0000	 0.0000
0.3301	 602.0000	 0.0000
0.3351	 617.0000	 0.0000
0.3401	 630.0000	 0.0000
0.3451	 625.0000	 0.0000
0.3501	 552.0000	 0.0000
0.3551	 460.0000	 0.0000
0.3601	 391.0000	 0.0000
0.3651	 311.0000	 0.0000
0.3701	 261.0000	 0.0000
0.3751	 237.0000	 0.0000
0.3801	 224.0000	 0.0000
0.3851	 218.0000	 0.0000
0.3901	 213.0000	 0.0000
0.3951	 210.0000	 0.0000
