0.0254	 212.0000	 0.0000	 0	 0	 15
0.1031	 394.0000	 0.0000	 1	 182	 15
0.1734	 509.0000	 0.0000	 0	 115	 15
0.2426	 239.0000	 0.0000	 1	 -270	 15
0.3151	 218.0000	 0.0000	 0	 -21	 15
0.3855	 400.0000	 0.0000	 1	 182	 15
0.4571	 418.0000	 0.0000	 0	 18	 15
0.5284	 241.0000	 0.0000	 1	 -177	 15
0.5984	 221.0000	 0.0000	 0	 -20	 15
0.6910	 280.0000	 0.0000	 1	 59	 15
0.7621	 217.0000	 0.0000	 1	 -63	 15
0.8327	 308.0000	 0.0000	 1	 91	 15
0.9017	 452.0000	 0.0000	 0	 144	 15
0.9730	 365.0000	 0.0000	 1	 -87	 15
1.0445	 213.0000	 0.0000	 0	 -152	 15
1.1164	 287.0000	 0.0000	 1	 74	 15
1.1869	 491.0000	 0.0000	 0	 204	 15
1.2564	 288.0000	 0.0000	 1	 -203	 15
1.3279	 216.0000	 0.0000	 0	 -72	 15
1.3961	 275.0000	 0.0000	 1	 59	 15
1.4881	 234.0000	 0.0000	 1	 -41	 15
1.5563	 214.0000	 0.0000	 0	 -20	 15
1.6257	 360.0000	 0.0000	 1	 146	 15
1.6938	 459.0000	 0.0000	 0	 99	 15
1.7627	 413.0000	 0.0000	 1	 -46	 15
1.8310	 223.0000	 0.0000	 0	 -190	 15
1.8993	 215.0000	 0.0000	 0	 -8	 15
1.9735	 434.0000	 0.0000	 1	 219	 15
2.0416	 432.0000	 0.0000	 0	 -2	 15
2.1115	 259.0000	 0.0000	 1	 -173	 15
2.1811	 215.0000	 0.0000	 0	 -44	 15
2.2518	 361.0000	 0.0000	 1	 146	 15
2.3189	 504.0000	 0.0000	 0	 143	 15
2.3889	 256.0000	 0.0000	 1	 -248	 15
2.4597	 216.0000	 0.0000	 0	 -40	 15
2.5298	 308.0000	 0.0000	 1	 92	 15
2.5965	 429.0000	 0.0000	 0	 121	 15
2.6668	 400.0000	 0.0000	 1	 -29	 15
2.7558	 330.0000	 0.0000	 0	 -70	 15
2.8237	 457.0000	 0.0000	 1	 127	 15
2.8906	 414.0000	 0.0000	 1	 -43	 15
2.9585	 224.0000	 0.0000	 0	 -190	 15
3.0370	 330.0000	 0.0000	 1	 106	 15
3.1031	 483.0000	 0.0000	 0	 153	 15
3.1709	 308.0000	 0.0000	 1	 -175	 15
3.2394	 222.0000	 0.0000	 0	 -86	 15
3.3054	 226.0000	 0.0000	 0	 4	 15
3.3718	 357.0000	 0.0000	 1	 131	 15
3.4382	 503.0000	 0.0000	 0	 146	 15
3.5059	 260.0000	 1.8245	 1	 -243	 15
3.5740	 218.0000	 1.8245	 0	 -42	 15
3.6402	 414.0000	 1.8245	 1	 196	 15
3.7078	 275.0000	 1.8245	 1	 -139	 15
3.7754	 219.0000	 1.6577	 0	 -56	 15
3.8412	 431.0000	 1.6577	 1	 212	 15
3.9088	 258.0000	 1.6577	 1	 -173	 15
3.9762	 227.0000	 1.6577	 0	 -31	 15
4.0446	 489.0000	 2.4823	 1	 262	 15
4.1216	 218.0000	 2.4823	 1	 -271	 15
4.1906	 441.0000	 2.4823	 1	 223	 15
4.2595	 250.0000	 2.4823	 1	 -191	 15
4.3276	 296.0000	 2.8623	 1	 46	 15
4.3957	 413.0000	 2.8623	 0	 117	 15
4.4662	 217.0000	 2.8623	 1	 -196	 15
4.5364	 451.0000	 2.8623	 1	 234	 15
4.6145	 213.0000	 2.9017	 1	 -238	 15
4.6921	 427.0000	 2.9017	 1	 214	 15
4.7608	 224.0000	 2.9017	 1	 -203	 15
4.8277	 376.0000	 2.9017	 1	 152	 15
4.8963	 321.0000	 3.3949	 1	 -55	 15
4.9653	 219.0000	 3.3949	 0	 -102	 15
5.0330	 443.0000	 3.3949	 1	 224	 15
5.1015	 240.0000	 3.3949	 1	 -203	 15
5.1708	 268.0000	 2.9338	 1	 28	 15
5.2371	 494.0000	 2.9338	 0	 226	 15
5.3066	 215.0000	 2.9338	 1	 -279	 15
5.3725	 341.0000	 2.9338	 1	 126	 15
5.4420	 371.0000	 2.4376	 0	 30	 15
5.5080	 215.0000	 2.4376	 1	 -156	 15
5.5768	 424.0000	 2.4376	 1	 209	 15
5.6431	 288.0000	 2.4376	 1	 -136	 15
5.7104	 224.0000	 2.4633	 0	 -64	 15
5.7757	 426.0000	 2.4633	 1	 202	 15
5.8425	 278.0000	 2.4633	 1	 -148	 15
5.9088	 228.0000	 2.4633	 0	 -50	 15
5.9825	 403.0000	 2.9899	 1	 175	 15
6.0550	 218.0000	 2.9899	 1	 -185	 15
6.1244	 468.0000	 2.9899	 1	 250	 15
6.1931	 229.0000	 2.9899	 1	 -239	 15
6.2619	 308.0000	 2.8674	 1	 79	 15
6.3320	 383.0000	 2.8674	 0	 75	 15
6.4010	 218.0000	 2.8674	 1	 -165	 15
6.4861	 242.0000	 2.8674	 1	 24	 15
6.5557	 254.0000	 2.8901	 0	 12	 15
6.6243	 476.0000	 2.8901	 0	 222	 15
6.6919	 217.0000	 2.8901	 1	 -259	 15
6.7609	 371.0000	 2.8901	 1	 154	 15
6.8281	 368.0000	 2.0047	 0	 -3	 15
6.8957	 216.0000	 2.0047	 1	 -152	 15
6.9691	 441.0000	 2.0047	 1	 225	 15
7.0371	 231.0000	 2.0047	 1	 -210	 108.2
7.1071	 388.0000	 2.0707	 1	 157	 108.2
7.1818	 231.0000	 2.0707	 1	 -157	 108.2
7.2540	 358.0000	 2.0707	 1	 127	 108.2
7.3235	 309.0000	 2.0707	 0	 -49	 108.2
7.3936	 245.0000	 3.5093	 0	 -64	 108.2
7.4638	 404.0000	 3.5093	 0	 159	 108.2
7.5354	 217.0000	 3.5093	 1	 -187	 108.2
7.6214	 266.0000	 3.5093	 0	 49	 108.2
7.6902	 273.0000	 2.0068	 0	 7	 108.2
7.7604	 383.0000	 2.0068	 1	 110	 108.2
7.8299	 216.0000	 2.0068	 1	 -167	 108.2
7.8985	 451.0000	 2.0068	 1	 235	 108.2
7.9699	 223.0000	 1.5429	 1	 -228	 108.2
8.0381	 327.0000	 1.5429	 0	 104	 108.2
8.1074	 362.0000	 1.5429	 0	 35	 108.2
8.1843	 335.0000	 1.5429	 0	 -27	 108.2
